,category,dayofweek,descript,pddistrict,resolution,time,x,y,report_month,report_day
0,ASSAULT,Monday,THREATS AGAINST LIFE,TARAVAL,non_processed,860,-122.474954469048,37.732456075876705,6,20
1,BURGLARY,Tuesday,"BURGLARY, FORCIBLE ENTRY",SOUTHERN,non_processed,1260,-122.36556542535305,37.80967070132394,10,17
2,NON-CRIMINAL,Thursday,COURTESY REPORT,NORTHERN,non_processed,720,-122.42032699386299,37.788452157813204,9,1
3,LARCENY/THEFT,Tuesday,GRAND THEFT FROM PERSON,NORTHERN,non_processed,1072,-122.4310463660887,37.78302957160442,11,14
4,VEHICLE THEFT,Saturday,STOLEN MOTORCYCLE,CENTRAL,non_processed,30,-122.41794044472027,37.79368190857626,4,7
5,VANDALISM,Thursday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",CENTRAL,non_processed,120,-122.3996666355976,37.79736626168483,2,15
6,RUNAWAY,Thursday,RUNAWAY,TARAVAL,non_processed,60,-122.48510062151249,37.73828383469711,1,25
7,ASSAULT,Saturday,ATTEMPTED HOMICIDE WITH A GUN,BAYVIEW,non_processed,61,-122.39576336244814,37.75562237179077,1,13
8,ASSAULT,Saturday,BATTERY,PARK,non_processed,720,-122.46152540815386,37.75150257039628,3,3
9,ASSAULT,Wednesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,TENDERLOIN,processed,20,-122.410157073911,37.784297384331204,3,13
10,OTHER OFFENSES,Sunday,TRAFFIC VIOLATION,SOUTHERN,processed,1051,-122.4124473731242,37.77563367344303,1,8
11,SUSPICIOUS OCC,Thursday,INVESTIGATIVE DETENTION,TARAVAL,non_processed,1282,-122.4654037794903,37.75098470486957,11,9
12,ASSAULT,Friday,THREATS AGAINST LIFE,BAYVIEW,non_processed,720,-122.37849417397524,37.730409680833546,9,22
13,NON-CRIMINAL,Saturday,"DEATH REPORT, CAUSE UNKNOWN",MISSION,non_processed,720,-122.42564604463516,37.76836173990504,9,2
14,VEHICLE THEFT,Thursday,STOLEN TRUCK,BAYVIEW,non_processed,1080,-122.38480444106246,37.726667509089616,10,5
15,ASSAULT,Tuesday,BATTERY,INGLESIDE,non_processed,900,-122.43129500296337,37.728729793830304,12,26
16,VEHICLE THEFT,Saturday,STOLEN TRUCK,PARK,non_processed,1200,-122.44348410533806,37.77762704570324,12,23
17,NON-CRIMINAL,Saturday,LOST PROPERTY,RICHMOND,non_processed,990,-122.51052451409178,37.779839999199815,1,28
18,MISSING PERSON,Tuesday,FOUND PERSON,TARAVAL,non_processed,635,-122.48510062151249,37.73828383469711,12,5
19,FRAUD,Thursday,"FORGERY, CREDIT CARD",BAYVIEW,non_processed,1211,-122.3879273876092,37.7427030847405,4,20
20,ASSAULT,Wednesday,BATTERY,BAYVIEW,non_processed,800,-122.40072699833702,37.734137208862435,11,29
21,BURGLARY,Sunday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",TARAVAL,processed,450,-122.46721408944401,37.718805632072794,9,18
22,VEHICLE THEFT,Tuesday,STOLEN AUTOMOBILE,BAYVIEW,non_processed,1140,-122.402315027402,37.7628581810457,7,5
23,MISSING PERSON,Saturday,FOUND PERSON,TARAVAL,non_processed,900,-122.45315825844,37.719497600502294,8,20
24,LARCENY/THEFT,Friday,GRAND THEFT FROM LOCKED AUTO,CENTRAL,non_processed,1200,-122.40954362657101,37.7938511491354,6,10
25,NON-CRIMINAL,Monday,LOST PROPERTY,SOUTHERN,non_processed,720,-122.39234976425699,37.7926450897756,7,18
26,DRUG/NARCOTIC,Sunday,POSSESSION OF BASE/ROCK COCAINE,TENDERLOIN,non_processed,1140,-122.415885065795,37.7835160563924,9,4
27,NON-CRIMINAL,Tuesday,"AIDED CASE, MENTAL DISTURBED",SOUTHERN,non_processed,909,-122.41073297292601,37.7768349106122,6,7
28,ASSAULT,Saturday,THREATS AGAINST LIFE,TENDERLOIN,processed,540,-122.411615075408,37.7831614109395,8,13
29,NON-CRIMINAL,Friday,"DEATH REPORT, CAUSE UNKNOWN",TENDERLOIN,non_processed,1164,-122.41485048052401,37.78560875883029,9,23
30,FORGERY/COUNTERFEITING,Saturday,"CHECKS, FORGERY (FELONY)",NORTHERN,processed,556,-122.422253466945,37.7908627239441,7,30
31,OTHER OFFENSES,Friday,PEDDLING WITHOUT A LICENSE,SOUTHERN,processed,1065,-122.38959528329399,37.7798611973964,8,26
32,ASSAULT,Tuesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,MISSION,non_processed,870,-122.409454021815,37.756782807714295,8,30
33,ASSAULT,Wednesday,BATTERY,TENDERLOIN,non_processed,597,-122.41431222924,37.779833918358705,8,31
34,LARCENY/THEFT,Wednesday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,1290,-122.40340479147899,37.775420706711,8,3
35,VEHICLE THEFT,Tuesday,"VEHICLE, RECOVERED, OTHER VEHICLE",CENTRAL,non_processed,795,-122.406977563692,37.789918101686,9,13
36,NON-CRIMINAL,Sunday,LOST PROPERTY,NORTHERN,non_processed,930,-122.41660769511499,37.7791387543353,9,25
37,VANDALISM,Sunday,"MALICIOUS MISCHIEF, VANDALISM",CENTRAL,non_processed,1332,-122.40603475313401,37.7969469304359,7,31
38,ASSAULT,Wednesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,SOUTHERN,non_processed,75,-122.41029351969699,37.7822305869807,7,27
39,SECONDARY CODES,Friday,DOMESTIC VIOLENCE,MISSION,non_processed,442,-122.426937897817,37.7473004188732,9,16
40,ROBBERY,Sunday,"ROBBERY, BODILY FORCE",BAYVIEW,non_processed,1435,-122.392625489272,37.7292804432495,9,4
41,LARCENY/THEFT,Monday,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,1,-122.403931583071,37.7586076315803,6,13
42,DRUG/NARCOTIC,Wednesday,POSSESSION OF BASE/ROCK COCAINE,MISSION,processed,486,-122.410731476964,37.7681785365466,6,15
43,LARCENY/THEFT,Wednesday,GRAND THEFT FROM A BUILDING,RICHMOND,non_processed,645,-122.46620466789301,37.7725405391593,9,14
44,LARCENY/THEFT,Friday,PETTY THEFT FROM LOCKED AUTO,NORTHERN,non_processed,480,-122.419739837813,37.785892609948604,6,24
45,BURGLARY,Tuesday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",INGLESIDE,processed,740,-122.43897565898199,37.7416517006399,9,20
46,FRAUD,Sunday,"CREDIT CARD, THEFT BY USE OF",PARK,processed,660,-122.457848242832,37.7656812762554,9,18
47,VANDALISM,Sunday,"MALICIOUS MISCHIEF, VANDALISM",SOUTHERN,non_processed,790,-122.40989282029,37.7801134973164,8,21
48,LARCENY/THEFT,Sunday,GRAND THEFT FROM LOCKED AUTO,TARAVAL,non_processed,815,-122.47135630952499,37.743237741197,8,26
49,WEAPON LAWS,Tuesday,POSS OF LOADED FIREARM,PARK,non_processed,887,-122.451098959125,37.7684634857937,7,26
50,VEHICLE THEFT,Sunday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,TARAVAL,non_processed,1100,-122.45913223103399,37.720948343274294,8,14
51,VANDALISM,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",TARAVAL,non_processed,1310,-122.472789938389,37.763750011087,8,20
52,VANDALISM,Tuesday,"MALICIOUS MISCHIEF, GRAFFITI",MISSION,non_processed,1020,-122.405728477989,37.75181076802279,8,9
53,SECONDARY CODES,Monday,DOMESTIC VIOLENCE,MISSION,processed,1295,-122.419276868183,37.7485648056908,7,25
54,DRUG/NARCOTIC,Tuesday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,TENDERLOIN,processed,1177,-122.416916142188,37.78439444920679,9,13
55,NON-CRIMINAL,Monday,"AIDED CASE, MENTAL DISTURBED",PARK,non_processed,810,-122.444220406221,37.781192452569606,9,12
56,FORGERY/COUNTERFEITING,Tuesday,"FORGERY, DRIVERS LICENSE OR ID-CARD",SOUTHERN,processed,1,-122.40340479147899,37.775420706711,5,31
57,BURGLARY,Monday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",MISSION,non_processed,300,-122.420179949433,37.7570135247226,6,27
58,SUSPICIOUS OCC,Saturday,SUSPICIOUS OCCURRENCE,TARAVAL,non_processed,540,-122.464751323048,37.708761292226704,7,2
59,WARRANTS,Saturday,ENROUTE TO OUTSIDE JURISDICTION,TENDERLOIN,processed,716,-122.413237516676,37.78284302332129,9,3
60,LARCENY/THEFT,Saturday,PETTY THEFT FROM LOCKED AUTO,PARK,non_processed,721,-122.442053306095,37.7792422155408,9,3
61,ROBBERY,Thursday,"ROBBERY, BODILY FORCE",NORTHERN,processed,1100,-122.41759424770599,37.7840149232554,9,8
62,PROSTITUTION,Tuesday,SOLICITS FOR ACT OF PROSTITUTION,TENDERLOIN,processed,1365,-122.416075285059,37.784449661256204,6,28
63,STOLEN PROPERTY,Sunday,RECEIVING STOLEN PROPERTY,BAYVIEW,processed,540,-122.39556536014099,37.756330274902396,9,4
64,OTHER OFFENSES,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,processed,585,-122.389461814676,37.7199285121568,8,3
